,#,CountryOther,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,SeriousCritical,Tot Cases/1M pop,Deaths/1M pop
0,0,World,18069950,61543.0,689755.0,1733.0,11363390.0,39278.0,6016805.0,65795.0,2318.0,88.5
1,1,USA,4766323,2005.0,157924.0,26.0,2363165.0,262.0,2245234.0,18720.0,14392.0,477.0
2,2,Brazil,2708876,,93616.0,,1884051.0,,731209.0,8318.0,12736.0,440.0
3,3,India,1767836,15917.0,37570.0,167.0,1157139.0,10260.0,573127.0,8944.0,1280.0,27.0
4,4,Russia,850870,5427.0,14128.0,70.0,650173.0,3649.0,186569.0,2300.0,5830.0,97.0
5,5,South Africa,503290,,8153.0,,342461.0,,152676.0,539.0,8477.0,137.0
6,6,Mexico,434193,9556.0,47472.0,784.0,284847.0,6229.0,101874.0,3994.0,3365.0,368.0
7,7,Peru,422183,,19408.0,,290835.0,,111940.0,1416.0,12790.0,588.0
8,8,Chile,357658,,9533.0,,330507.0,,17618.0,1445.0,18696.0,498.0
9,9,Spain,335602,,28445.0,,,,,617.0,7178.0,608.0
10,10,Iran,309437,2685.0,17190.0,208.0,268102.0,2272.0,24145.0,4089.0,3680.0,204.0
11,11,Colombia,306181,,10330.0,,160708.0,,135143.0,1493.0,6012.0,203.0
12,12,UK,303952,,46193.0,,,,,86.0,4475.0,680.0
13,13,Pakistan,279698,552.0,5976.0,6.0,248577.0,550.0,25145.0,1064.0,1264.0,27.0
14,14,Saudi Arabia,278835,1357.0,2917.0,30.0,240081.0,2533.0,35837.0,2011.0,7999.0,84.0
15,15,Italy,247832,,35146.0,,200229.0,,12457.0,43.0,4100.0,581.0
16,16,Bangladesh,240746,886.0,3154.0,22.0,136839.0,586.0,100753.0,,1461.0,19.0
17,17,Turkey,231869,,5710.0,,215516.0,,10643.0,586.0,2747.0,68.0
18,18,Germany,211208,131.0,9226.0,,193600.0,,8382.0,261.0,2520.0,110.0
19,19,Argentina,196543,,3596.0,,86499.0,,106448.0,1128.0,4345.0,80.0
20,20,France,187919,,30265.0,,81500.0,,76154.0,371.0,2878.0,464.0
21,21,Iraq,129151,2447.0,4868.0,63.0,91886.0,2611.0,32397.0,498.0,3205.0,121.0
22,22,Canada,116599,,8941.0,,101436.0,,6222.0,2249.0,3087.0,237.0
23,23,Indonesia,111455,1519.0,5236.0,43.0,68975.0,1056.0,37244.0,,407.0,19.0
24,24,Qatar,111107,196.0,177.0,3.0,107779.0,201.0,3151.0,76.0,39571.0,63.0
25,25,Philippines,103185,5032.0,2059.0,20.0,65557.0,300.0,35569.0,351.0,941.0,19.0
26,26,Egypt,94316,,4834.0,,41137.0,,48345.0,41.0,920.0,47.0
27,27,Kazakhstan,91593,1226.0,793.0,,61839.0,1014.0,28961.0,221.0,4873.0,42.0
28,28,Ecuador,86232,,5736.0,,36213.0,,44283.0,369.0,4881.0,325.0
29,29,Sweden,80422,,5743.0,,,,,40.0,7959.0,568.0
30,30,Oman,79159,,421.0,,61421.0,,17317.0,187.0,15471.0,82.0
31,31,Bolivia,78793,2004.0,3064.0,87.0,23968.0,386.0,51761.0,71.0,6742.0,262.0
32,32,Israel,72315,97.0,531.0,5.0,45631.0,529.0,26153.0,340.0,7862.0,58.0
33,33,Ukraine,72168,1112.0,1725.0,16.0,39543.0,235.0,30900.0,128.0,1651.0,39.0
34,34,Dominican Republic,71415,,1170.0,,37509.0,,32736.0,284.0,6578.0,108.0
35,35,Belgium,69402,651.0,9845.0,4.0,17573.0,27.0,41984.0,56.0,5986.0,849.0
36,36,Belarus,68067,121.0,567.0,4.0,62896.0,210.0,4604.0,,7204.0,60.0
37,37,Kuwait,67911,463.0,457.0,4.0,59213.0,688.0,8241.0,129.0,15883.0,107.0
38,38,Panama,66383,,1449.0,,40081.0,,24853.0,166.0,15365.0,335.0
39,39,UAE,60999,239.0,351.0,,54615.0,360.0,6033.0,,6161.0,35.0
40,40,Netherlands,55098,366.0,6149.0,1.0,,,,35.0,3215.0,359.0
41,41,Romania,53186,1075.0,2413.0,34.0,27592.0,246.0,23181.0,412.0,2766.0,126.0
42,42,Singapore,52825,313.0,27.0,,46740.0,,6058.0,,9023.0,5.0
43,43,Portugal,51463,153.0,1738.0,1.0,36984.0,201.0,12741.0,41.0,5048.0,170.0
44,44,Guatemala,50979,,1959.0,,37873.0,,11147.0,5.0,2841.0,109.0
45,45,Poland,46894,548.0,1731.0,10.0,34709.0,335.0,10454.0,76.0,1239.0,46.0
46,46,Nigeria,43537,,883.0,,20087.0,,22567.0,7.0,211.0,4.0
47,47,Honduras,42685,671.0,1368.0,31.0,5694.0,140.0,35623.0,43.0,4304.0,138.0
48,48,Bahrain,41190,,147.0,,38211.0,,2832.0,43.0,24146.0,86.0
49,49,Armenia,39050,209.0,754.0,5.0,29750.0,193.0,8546.0,10.0,13176.0,254.0
50,50,Ghana,37014,,182.0,,33365.0,,3467.0,8.0,1189.0,6.0
51,51,Kyrgyzstan,36719,420.0,1409.0,12.0,27274.0,855.0,8036.0,24.0,5621.0,216.0
52,52,Afghanistan,36710,,1283.0,,25509.0,,9918.0,31.0,941.0,33.0
53,53,Japan,35836,,1011.0,,25506.0,,9319.0,80.0,283.0,8.0
54,54,Switzerland,35550,138.0,1981.0,,31300.0,,2269.0,25.0,4105.0,229.0
55,55,Azerbaijan,32157,,454.0,,26474.0,,5229.0,66.0,3169.0,45.0
56,56,Algeria,30950,,1223.0,,20988.0,,8739.0,64.0,705.0,28.0
57,57,Serbia,26193,311.0,590.0,8.0,14047.0,,11556.0,146.0,2999.0,68.0
58,58,Ireland,26109,,1763.0,,23364.0,,982.0,4.0,5283.0,357.0
59,59,Uzbekistan,25336,553.0,151.0,4.0,15833.0,534.0,9352.0,185.0,756.0,5.0
60,60,Moldova,25113,,789.0,1.0,17816.0,245.0,6508.0,362.0,6227.0,196.0
61,61,Morocco,25015,,367.0,,17960.0,,6688.0,31.0,677.0,10.0
62,62,Kenya,21363,,364.0,,8419.0,,12580.0,44.0,397.0,7.0
63,63,Austria,21304,92.0,718.0,,18984.0,73.0,1602.0,20.0,2364.0,80.0
64,64,Nepal,20332,246.0,57.0,1.0,14603.0,111.0,5672.0,,697.0,2.0
65,65,Venezuela,19443,,169.0,,11129.0,,8145.0,25.0,684.0,6.0
66,66,Costa Rica,18187,,154.0,,4531.0,,13502.0,94.0,3567.0,30.0
67,67,Ethiopia,17999,,284.0,,7195.0,,10520.0,138.0,156.0,2.0
68,68,Australia,17923,641.0,208.0,7.0,10420.0,218.0,7295.0,46.0,702.0,8.0
69,69,El Salvador,17448,398.0,467.0,8.0,8634.0,139.0,8347.0,493.0,2689.0,72.0
70,70,Cameroon,17255,,391.0,,15320.0,,1544.0,30.0,649.0,15.0
71,71,Czechia,16699,,383.0,,11587.0,,4729.0,19.0,1559.0,36.0
72,72,Ivory Coast,16109,,102.0,,11750.0,,4257.0,,610.0,4.0
73,73,S. Korea,14366,30.0,301.0,,13259.0,26.0,806.0,13.0,280.0,6.0
74,74,Denmark,13789,,615.0,,12578.0,,596.0,3.0,2380.0,106.0
75,75,Palestine,12297,137.0,84.0,1.0,5390.0,66.0,6823.0,,2406.0,16.0
76,76,Bosnia and Herzegovina,12296,420.0,352.0,13.0,6312.0,353.0,5632.0,,3750.0,107.0
77,77,Bulgaria,11836,,385.0,,6396.0,,5055.0,43.0,1705.0,55.0
78,78,Sudan,11738,,752.0,,6137.0,,4849.0,,267.0,17.0
79,79,Madagascar,11528,255.0,114.0,7.0,8444.0,335.0,2970.0,90.0,415.0,4.0
80,80,North Macedonia,11054,163.0,497.0,4.0,6882.0,184.0,3675.0,5.0,5306.0,239.0
81,81,Senegal,10344,60.0,209.0,,6838.0,16.0,3297.0,39.0,617.0,12.0
82,82,Norway,9263,10.0,255.0,,8752.0,,256.0,1.0,1707.0,47.0
83,83,DRC,9115,31.0,215.0,,7319.0,289.0,1581.0,,102.0,2.0
84,84,Malaysia,8999,14.0,125.0,,8664.0,17.0,210.0,2.0,278.0,4.0
85,85,French Guiana,7857,,43.0,,6531.0,,1283.0,25.0,26253.0,144.0
86,86,Gabon,7531,,50.0,,5223.0,,2258.0,11.0,3377.0,22.0
87,87,Haiti,7468,44.0,165.0,4.0,4606.0,,2697.0,,654.0,14.0
88,88,Finland,7453,10.0,329.0,,6950.0,,174.0,,1345.0,59.0
89,89,Tajikistan,7451,,60.0,,6233.0,,1158.0,,780.0,6.0
90,90,Guinea,7317,9.0,46.0,,6480.0,22.0,791.0,24.0,556.0,3.0
91,91,Luxembourg,6793,,116.0,,5192.0,,1485.0,7.0,10837.0,185.0
92,92,Zambia,6347,119.0,170.0,5.0,4493.0,363.0,1684.0,,345.0,9.0
93,93,Mauritania,6319,,157.0,,5043.0,,1119.0,3.0,1356.0,34.0
94,94,Paraguay,5485,,52.0,,3786.0,,1647.0,12.0,768.0,7.0
95,95,Albania,5396,,161.0,,2961.0,,2274.0,16.0,1875.0,56.0
96,96,Croatia,5260,36.0,149.0,4.0,4373.0,32.0,738.0,6.0,1282.0,36.0
97,97,Djibouti,5161,77.0,59.0,1.0,5019.0,20.0,83.0,,5217.0,60.0
98,98,Equatorial Guinea,4821,,83.0,,2182.0,,2556.0,,3428.0,59.0
99,99,Lebanon,4730,,61.0,,1761.0,,2908.0,34.0,693.0,9.0
100,100,CAR,4614,,59.0,,1635.0,,2920.0,2.0,954.0,12.0
101,101,Greece,4587,,206.0,,1374.0,,3007.0,9.0,440.0,20.0
102,102,Hungary,4535,9.0,597.0,,3389.0,25.0,549.0,7.0,470.0,62.0
103,103,Malawi,4186,,120.0,,1914.0,,2152.0,4.0,218.0,6.0
104,104,Maldives,3949,,17.0,,2613.0,,1319.0,12.0,7295.0,31.0
105,105,Libya,3691,,80.0,,619.0,,2992.0,,537.0,12.0
106,106,Nicaragua,3672,,116.0,,2492.0,,1064.0,,554.0,17.0
107,107,Zimbabwe,3659,,69.0,,1011.0,,2579.0,,246.0,5.0
108,108,Hong Kong,3512,115.0,34.0,1.0,1959.0,101.0,1519.0,34.0,468.0,5.0
109,109,Thailand,3317,5.0,58.0,,3142.0,7.0,117.0,1.0,48.0,0.8
110,110,Somalia,3212,,93.0,,1562.0,,1557.0,2.0,202.0,6.0
111,111,Congo,3200,,54.0,,829.0,,2317.0,,579.0,10.0
112,112,Montenegro,3198,,50.0,,1293.0,,1855.0,,5092.0,80.0
113,113,Mayotte,2962,,39.0,,2721.0,,202.0,1.0,10837.0,143.0
114,114,Sri Lanka,2817,2.0,11.0,,2514.0,75.0,292.0,1.0,132.0,0.5
115,115,Eswatini,2706,,43.0,,1214.0,,1449.0,5.0,2330.0,37.0
116,116,Cuba,2633,,87.0,,2367.0,,179.0,1.0,232.0,8.0
117,117,Mali,2535,,124.0,,1941.0,4.0,470.0,,125.0,6.0
118,118,Cabo Verde,2480,,24.0,,1837.0,,619.0,,4456.0,43.0
119,119,South Sudan,2352,,46.0,,1175.0,,1131.0,,210.0,4.0
120,120,Slovakia,2344,7.0,29.0,,1742.0,,573.0,1.0,429.0,5.0
121,121,Namibia,2224,,11.0,,171.0,,2042.0,24.0,874.0,4.0
122,122,Slovenia,2180,9.0,120.0,1.0,1826.0,5.0,234.0,2.0,1049.0,58.0
123,123,Lithuania,2110,17.0,80.0,,1644.0,,386.0,6.0,776.0,29.0
124,124,Estonia,2079,7.0,69.0,,1934.0,,76.0,,1567.0,52.0
125,125,Rwanda,2042,,5.0,,1119.0,,918.0,,157.0,0.4
126,126,Guinea-Bissau,1981,,27.0,,803.0,,1151.0,5.0,1005.0,14.0
127,127,Mozambique,1907,,12.0,,645.0,,1250.0,,61.0,0.4
128,128,Iceland,1907,14.0,10.0,,1825.0,,72.0,,5585.0,29.0
129,129,Sierra Leone,1823,,67.0,,1362.0,,394.0,,228.0,8.0
130,130,Benin,1805,,36.0,,1036.0,,733.0,1.0,149.0,3.0
131,131,Suriname,1760,,26.0,,1161.0,,573.0,12.0,2998.0,44.0
132,132,Yemen,1730,,494.0,,862.0,,374.0,,58.0,17.0
133,133,New Zealand,1565,3.0,22.0,,1518.0,,25.0,,313.0,4.0
134,134,Tunisia,1552,,51.0,,1217.0,,284.0,3.0,131.0,4.0
135,135,Uruguay,1278,,35.0,,1004.0,,239.0,5.0,368.0,10.0
136,136,Latvia,1243,5.0,32.0,,1052.0,,159.0,,660.0,17.0
137,137,Jordan,1208,,11.0,,1094.0,,103.0,3.0,118.0,1.0
138,138,Liberia,1189,,75.0,,673.0,,441.0,,235.0,15.0
139,139,Uganda,1182,6.0,4.0,,1045.0,,133.0,,26.0,0.09
140,140,Georgia,1177,6.0,17.0,,955.0,8.0,205.0,5.0,295.0,4.0
141,141,Angola,1164,,54.0,,460.0,,650.0,5.0,35.0,2.0
142,142,Burkina Faso,1143,,53.0,,945.0,10.0,145.0,,55.0,3.0
143,143,Cyprus,1139,15.0,19.0,,856.0,4.0,264.0,,943.0,16.0
144,144,Niger,1136,,69.0,,1028.0,,39.0,,47.0,3.0
145,145,Togo,958,,19.0,,647.0,,292.0,2.0,116.0,2.0
146,146,Chad,936,,75.0,,813.0,,48.0,,57.0,5.0
147,147,Andorra,925,,52.0,,807.0,,66.0,,11970.0,673.0
148,148,Jamaica,883,5.0,10.0,,743.0,17.0,130.0,,298.0,3.0
149,149,Sao Tome and Principe,874,,15.0,,782.0,,77.0,,3982.0,68.0
150,150,Malta,860,15.0,9.0,,666.0,1.0,185.0,,1947.0,20.0
151,151,Botswana,804,,2.0,,63.0,,739.0,1.0,341.0,0.8
152,152,Syria,780,,43.0,,237.0,,500.0,,44.0,2.0
153,153,Lesotho,718,16.0,19.0,5.0,173.0,2.0,526.0,,335.0,9.0
154,154,Diamond Princess,712,,13.0,,651.0,,48.0,4.0,,
155,156,Réunion,664,,4.0,,592.0,,68.0,4.0,741.0,4.0
156,157,Vietnam,620,30.0,5.0,2.0,373.0,,242.0,,6.0,0.05
157,158,Bahamas,599,,14.0,,91.0,,494.0,1.0,1522.0,36.0
158,159,Channel Islands,587,,47.0,,533.0,,7.0,,3374.0,270.0
159,160,Tanzania,509,,21.0,,183.0,,305.0,7.0,9.0,0.4
160,161,Gambia,498,,9.0,,68.0,,421.0,,206.0,4.0
161,162,Taiwan,475,1.0,7.0,,441.0,,27.0,,20.0,0.3
162,163,Guyana,430,,20.0,,185.0,,225.0,3.0,546.0,25.0
163,164,Burundi,395,,1.0,,304.0,,90.0,,33.0,0.08
164,165,Comoros,386,,7.0,,330.0,,49.0,,443.0,8.0
165,166,Myanmar,353,,6.0,,297.0,,50.0,,6.0,0.1
166,167,Mauritius,344,,10.0,,332.0,,2.0,,270.0,8.0
167,169,Mongolia,293,2.0,,,230.0,,63.0,3.0,89.0,
168,170,Eritrea,279,,,,225.0,,54.0,,79.0,
169,171,Martinique,269,,15.0,,98.0,,156.0,4.0,717.0,40.0
170,172,Guadeloupe,265,,14.0,,179.0,,72.0,,662.0,35.0
171,173,Cambodia,240,1.0,,,196.0,32.0,44.0,1.0,14.0,
172,174,Faeroe Islands,225,,,,189.0,,36.0,1.0,4603.0,
173,176,Gibraltar,188,,,,183.0,1.0,5.0,,5580.0,
174,177,Trinidad and Tobago,173,,8.0,,132.0,,33.0,,124.0,6.0
175,178,Bermuda,156,,9.0,,141.0,,6.0,,2506.0,145.0
176,180,Sint Maarten,128,,15.0,,64.0,,49.0,,2983.0,350.0
177,181,Barbados,122,,7.0,,98.0,,17.0,,424.0,24.0
178,182,Aruba,121,,3.0,,105.0,,13.0,,1133.0,28.0
179,183,Monaco,120,,4.0,,105.0,,11.0,,3056.0,102.0
180,184,Turks and Caicos,114,,2.0,,38.0,,74.0,3.0,2941.0,52.0
181,185,Seychelles,114,,,,39.0,,75.0,,1159.0,
182,186,Papua New Guinea,110,19.0,2.0,,34.0,,74.0,,12.0,0.2
183,187,Bhutan,102,1.0,,,89.0,,13.0,,132.0,
184,188,Antigua and Barbuda,91,,3.0,,67.0,,21.0,1.0,929.0,31.0
185,189,Liechtenstein,88,,1.0,,85.0,,2.0,,2307.0,26.0
186,191,Belize,56,8.0,2.0,,30.0,,24.0,,141.0,5.0
187,192,St. Vincent Grenadines,55,1.0,,,45.0,1.0,10.0,,496.0,
188,193,Saint Martin,53,,3.0,,41.0,,9.0,1.0,1369.0,77.0
189,195,Curaçao,29,,1.0,,24.0,,4.0,,177.0,6.0
190,196,Fiji,27,,1.0,,18.0,,8.0,,30.0,1.0
191,197,Saint Lucia,25,,,,22.0,,3.0,,136.0,
192,198,Grenada,24,,,,23.0,,1.0,,213.0,
193,201,Laos,20,,,,19.0,,1.0,,3.0,
194,203,Saint Kitts and Nevis,17,,,,16.0,,1.0,,319.0,
195,204,Greenland,14,,,,13.0,,1.0,,247.0,
196,205,Caribbean Netherlands,13,2.0,,,7.0,,6.0,,495.0,
197,207,Montserrat,12,,1.0,,10.0,,1.0,,2404.0,200.0
198,209,Western Sahara,10,,1.0,,8.0,,1.0,,17.0,2.0
199,210,MS Zaandam,9,,2.0,,,,7.0,,,
200,211,St. Barth,9,1.0,,,6.0,,3.0,,911.0,
201,213,Saint Pierre Miquelon,4,,,,1.0,,3.0,,691.0,
202,215,China,84385,49.0,4634.0,,79003.0,14.0,748.0,36.0,59.0,3.0
203,Total:,18069950,61543,689755.0,1733.0,11363390.0,39278.0,6016805.0,65795.0,2318.2,88.5,
